"original.sound.files","sound.files","start","end"
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 122.wav","C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-42-22_0000004 id 122-2.wav",300,300.67917
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 106.wav","C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 106-1.wav",0,300
"C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 106.wav","C_Campo_Abierto_M2Cuido_Materno2023-09-27_10-51-17_0000005 106-2.wav",300,300.67917
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97-1.wav",0,300
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97-2.wav",300,600
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97-3.wav",600,900
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-04-58_0000001 ID 97-4.wav",900,1054.34317
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147-1.wav",0,300
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147-2.wav",300,600
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147-3.wav",600,900
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 147-4.wav",900,1040.90829
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129-1.wav",0,300
"C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129.wav","C_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 129-2.wav",300,600
