"sound.files","start","end","counts","duration","rate","minute"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",180,240,100,60,1.66666666666667,4
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",240,300,59,60,0.983333333333333,5
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",300,360,65,60,1.08333333333333,6
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",360,420,32,60,0.533333333333333,7
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",420,480,83,60,1.38333333333333,8
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",480,540,63,60,1.05,9
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",540,600,45,60,0.75,10
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",600,660,15,60,0.25,11
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",660,720,21,60,0.35,12
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",720,780,37,60,0.616666666666667,13
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",780,840,59,60,0.983333333333333,14
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",840,900,34,60,0.566666666666667,15
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",900,960,26,60,0.433333333333333,16
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",960,1020,6,60,0.1,17
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-30-11_0000002 id 109.wav",1020,1040.90829,1,20.9082900000001,0.0478279189737657,18
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",0,60,22,60,0.366666666666667,1
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",60,120,17,60,0.283333333333333,2
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",120,180,95,60,1.58333333333333,3
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",180,240,131,60,2.18333333333333,4
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",240,300,121,60,2.01666666666667,5
"A_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id 92.wav",300,360,109,60,1.81666666666667,6
